epoch,accuracy,loss,val_accuracy,val_loss
0,0.3135053813457489,3.6427290439605713,0.27320975065231323,3.788454532623291
1,0.46875,1.3027048110961914,0.0,2.8718173503875732
2,0.5168256163597107,2.4706366062164307,0.44601553678512573,2.7170791625976562
3,0.625,1.0669655799865723,0.0,0.9585508108139038
4,0.5798885226249695,2.093533515930176,0.5490335822105408,2.162999391555786
5,0.59375,1.0208981037139893,0.5,1.885886549949646
6,0.6159301400184631,1.880565881729126,0.5059410929679871,2.3454906940460205
7,0.5625,1.015406608581543,0.5,0.9763402342796326
8,0.6394516229629517,1.7392491102218628,0.5462214946746826,2.12892746925354
9,0.59375,0.7923914790153503,0.5,1.5957120656967163
10,0.6630656123161316,1.6259773969650269,0.500316858291626,2.3314297199249268
11,0.625,0.9209645390510559,0.0,1.9099408388137817
12,0.6773158311843872,1.546834111213684,0.5335868000984192,2.17098069190979
13,0.8125,0.5514695644378662,0.0,2.9695680141448975
14,0.6929924488067627,1.4712468385696411,0.583214521408081,1.918291449546814
